job_id system nodes time_req start_time stop_time
576944 Hera 128 5hr 1333171202 1333171919
596155 Hera 128 5hr 1333905603 1333919486
573738 Hera 8 5hr 1333041602 1333041783
578602 Hera 256 5hr 1333214402 1333225345
596878 Hera 64 5hr 1333948802 1333951093
600370 Hera 256 5hr 1334164802 1334262313
596152 Hera 16 5hr 1333905602 1333907928
573742 Hera 128 5hr 1333041603 1333049992
588316 Hera 32 5hr 1333560009 1333563184
599998 Hera 16 5hr 1334121602 1334125366
600369 Hera 128 5hr 1334164802 1334262217
595801 Hera 64 5hr 1333862402 1333871519
575725 Hera 16 5hr 1333128001 1333134430
573053 Hera 8 5hr 1332998401 1333002026
573056 Hera 64 5hr 1332998402 1333002357
591968 Hera 8 5hr 1333732801 1333734597
596880 Hera 256 5hr 1333948803 1333991904
574880 Hera 16 5hr 1333084813 1333084891
584049 Hera 8 5hr 1333387201 1333387240
590239 Hera 256 5hr 1333646403 1333673329
598489 Hera 64 5hr 1334035261 1334036215
587615 Hera 128 5hr 1333516802 1333527448
595461 Hera 256 5hr 1333819202 1333833020
591971 Hera 64 5hr 1333732802 1333735291
594843 Hera 32 5hr 1333776002 1333788491
585473 Hera 256 5hr 1333430403 1333442992
600366 Hera 16 5hr 1334164801 1334262226
590234 Hera 16 5hr 1333646402 1333646674
590233 Hera 8 5hr 1333646401 1333646593
598487 Hera 32 5hr 1334035261 1334036136
595460 Hera 128 5hr 1333819202 1333822670
597346 Hera 64 5hr 1333992012 1333992310
581287 Hera 64 5hr 1333257602 1333259315
600365 Hera 8 5hr 1334164801 1334262216
587611 Hera 8 5hr 1333516801 1333516919
599009 Hera 256 5hr 1334078403 1334091016
575728 Hera 128 5hr 1333128002 1333139457
576940 Hera 8 5hr 1333171201 1333171234
599005 Hera 16 5hr 1334078402 1334079295
573743 Hera 256 5hr 1333041603 1333056286
576942 Hera 32 5hr 1333171202 1333171366
581288 Hera 128 5hr 1333257602 1333262313
587613 Hera 32 5hr 1333516801 1333519790
590237 Hera 64 5hr 1333646402 1333647766
596151 Hera 8 5hr 1333905602 1333907927
597344 Hera 16 5hr 1333992011 1333992063
594846 Hera 256 5hr 1333776003 1333795458
585468 Hera 8 5hr 1333430402 1333433040
575724 Hera 8 5hr 1333128001 1333129257
584053 Hera 128 5hr 1333387202 1333394902
591972 Hera 128 5hr 1333732802 1333747421
574884 Hera 256 5hr 1333084814 1333102527
573741 Hera 64 5hr 1333041603 1333042757
578597 Hera 8 5hr 1333214401 1333214409
582944 Hera 32 5hr 1333344002 1333344044
590238 Hera 128 5hr 1333646402 1333667113
585470 Hera 32 5hr 1333430402 1333435179
596154 Hera 64 5hr 1333905602 1333917826
573055 Hera 32 5hr 1332998401 1333002262
597347 Hera 128 5hr 1333992012 1333992393
595798 Hera 8 5hr 1333862402 1333865855
582253 Hera 128 5hr 1333300803 1333305603
594841 Hera 8 5hr 1333776001 1333788488
586507 Hera 64 5hr 1333473609 1333479715
594844 Hera 64 5hr 1333776002 1333793312
575727 Hera 64 5hr 1333128002 1333136200
582946 Hera 128 5hr 1333344003 1333347863
595458 Hera 32 5hr 1333819202 1333822498
596875 Hera 8 5hr 1333948801 1333951017
581286 Hera 32 5hr 1333257602 1333258574
582252 Hera 64 5hr 1333300802 1333302138
573057 Hera 128 5hr 1332998402 1333006456
578598 Hera 16 5hr 1333214401 1333214448
578599 Hera 32 5hr 1333214402 1333215073
588314 Hera 8 5hr 1333560009 1333560456
599006 Hera 32 5hr 1334078402 1334083368
597345 Hera 32 5hr 1333992012 1333992307
584054 Hera 256 5hr 1333387202 1333403189
591526 Hera 16 5hr 1333689603 1333690088
597343 Hera 8 5hr 1333992011 1333992062
587614 Hera 64 5hr 1333516802 1333525201
585469 Hera 16 5hr 1333430402 1333433805
588319 Hera 256 5hr 1333560010 1333582937
600002 Hera 256 5hr 1334121603 1334262216
585471 Hera 64 5hr 1333430402 1333435857
581284 Hera 8 5hr 1333257601 1333258256
600001 Hera 128 5hr 1334121603 1334262215
595799 Hera 16 5hr 1333862402 1333865830
587616 Hera 256 5hr 1333516802 1333532030
584051 Hera 32 5hr 1333387202 1333387783
598486 Hera 16 5hr 1334035242 1334036135
573739 Hera 16 5hr 1333041602 1333041858
598491 Hera 256 5hr 1334035263 1334053100
574883 Hera 128 5hr 1333084813 1333089051
590235 Hera 32 5hr 1333646402 1333646921
576945 Hera 256 5hr 1333171202 1333180706
595456 Hera 8 5hr 1333819201 1333822495
591531 Hera 256 5hr 1333689638 1333707135
599999 Hera 32 5hr 1334121602 1334127796
587612 Hera 16 5hr 1333516801 1333516994
595803 Hera 256 5hr 1333862403 1333881147
594842 Hera 16 5hr 1333776002 1333788490
582254 Hera 256 5hr 1333300803 1333307528
578601 Hera 128 5hr 1333214402 1333220455
599004 Hera 8 5hr 1334078402 1334079297
582251 Hera 32 5hr 1333300802 1333301749
595459 Hera 64 5hr 1333819202 1333822499
599007 Hera 64 5hr 1334078402 1334085376
586504 Hera 8 5hr 1333473608 1333473797
585472 Hera 128 5hr 1333430403 1333435918
575729 Hera 256 5hr 1333128002 1333150551
584050 Hera 16 5hr 1333387201 1333387502
595800 Hera 32 5hr 1333862402 1333869132
591973 Hera 256 5hr 1333732802 1333747860
588318 Hera 128 5hr 1333560010 1333582872
598485 Hera 8 5hr 1334035222 1334036134
582249 Hera 8 5hr 1333300802 1333300820
582250 Hera 16 5hr 1333300802 1333300849
588317 Hera 64 5hr 1333560010 1333564936
576943 Hera 64 5hr 1333171202 1333171447
581285 Hera 16 5hr 1333257602 1333258456
576941 Hera 16 5hr 1333171201 1333171307
600000 Hera 64 5hr 1334121602 1334130660
573054 Hera 16 5hr 1332998401 1333002238
596877 Hera 32 5hr 1333948802 1333951019
582945 Hera 64 5hr 1333344002 1333344110
596876 Hera 16 5hr 1333948802 1333950942
595802 Hera 128 5hr 1333862402 1333881067
582942 Hera 8 5hr 1333344002 1333344041
600367 Hera 32 5hr 1334164801 1334262232
582943 Hera 16 5hr 1333344002 1333344042
584052 Hera 64 5hr 1333387202 1333389094
574878 Hera 8 5hr 1333084812 1333084857
573740 Hera 32 5hr 1333041602 1333041998
591530 Hera 128 5hr 1333689638 1333699794
596153 Hera 32 5hr 1333905602 1333908005
591970 Hera 32 5hr 1333732802 1333735078
581289 Hera 256 5hr 1333257603 1333280559
586506 Hera 32 5hr 1333473609 1333475079
596156 Hera 256 5hr 1333905603 1333919588
588315 Hera 16 5hr 1333560009 1333560502
600368 Hera 64 5hr 1334164802 1334262232
591969 Hera 16 5hr 1333732801 1333735045
591525 Hera 8 5hr 1333689601 1333690013
574881 Hera 32 5hr 1333084813 1333086335
599997 Hera 8 5hr 1334121602 1334124855
578600 Hera 64 5hr 1333214402 1333216296
575726 Hera 32 5hr 1333128001 1333136130
597348 Hera 256 5hr 1333992013 1333995649
586508 Hera 128 5hr 1333473609 1333481748
573058 Hera 256 5hr 1332998402 1333020246
586505 Hera 16 5hr 1333473608 1333474115
594845 Hera 128 5hr 1333776003 1333795377
574882 Hera 64 5hr 1333084813 1333086519
595457 Hera 16 5hr 1333819201 1333822496
599008 Hera 128 5hr 1334078403 1334085378
143783 Sierra 16 5hr 1333776002 1333777758
133162 Sierra 128 5hr 1333128002 1333153900
133164 Sierra 512 5hr 1333128003 1333173991
133158 Sierra 8 5hr 1333128001 1333138195
135503 Sierra 256 5hr 1333214404 1333235554
138473 Sierra 128 5hr 1333430402 1333430481
140582 Sierra 512 5hr 1333646403 1333648960
149217 Sierra 512 5hr 1333992004 1334029816
144707 Sierra 8 5hr 1333819202 1333823548
148298 Sierra 8 5hr 1333948802 1333948928
141853 Sierra 256 5hr 1333689603 1333695234
137028 Sierra 1024 5hr 1333344003 1333353190
138106 Sierra 1024 5hr 1333387203 1333410902
150948 Sierra 1024 5hr 1334078404 1334096529
135505 Sierra 1024 5hr 1333214405 1333235484
132153 Sierra 512 5hr 1333084803 1333108172
134514 Sierra 1024 5hr 1333171204 1333188206
139677 Sierra 16 5hr 1333560001 1333565696
142661 Sierra 16 5hr 1333732802 1333735940
144714 Sierra 1024 5hr 1333819204 1333876375
148300 Sierra 32 5hr 1333948802 1333948928
138606 Sierra 256 5hr 1333473603 1333477452
144711 Sierra 128 5hr 1333819203 1333823584
138607 Sierra 512 5hr 1333473603 1333511004
140207 Sierra 16 5hr 1333603201 1333603206
145736 Sierra 128 5hr 1333862403 1333868618
144713 Sierra 512 5hr 1333819204 1333847327
150183 Sierra 16 5hr 1334035202 1334035989
139683 Sierra 1024 5hr 1333560003 1333591274
136909 Sierra 512 5hr 1333300803 1333321026
143784 Sierra 32 5hr 1333776002 1333779194
144708 Sierra 16 5hr 1333819202 1333823548
152432 Sierra 16 5hr 1334121601 1334121647
150189 Sierra 1024 5hr 1334035204 1334053234
138602 Sierra 16 5hr 1333473602 1333475627
139680 Sierra 128 5hr 1333560002 1333581126
148301 Sierra 64 5hr 1333948803 1333948929
131248 Sierra 32 5hr 1333041607 1333043471
134508 Sierra 16 5hr 1333171202 1333171211
149219 Sierra 1024 5hr 1333992004 1334029744
139681 Sierra 256 5hr 1333560002 1333591343
138470 Sierra 16 5hr 1333430402 1333430477
143785 Sierra 64 5hr 1333776002 1333779195
136416 Sierra 256 5hr 1333257603 1333259516
136411 Sierra 8 5hr 1333257602 1333259512
141850 Sierra 32 5hr 1333689602 1333695231
130814 Sierra 128 5hr 1332998408 1333032799
147225 Sierra 8 5hr 1333905601 1333905683
152437 Sierra 512 5hr 1334121603 1334153323
139286 Sierra 1024 5hr 1333516803 1333528420
138603 Sierra 32 5hr 1333473602 1333475596
152436 Sierra 256 5hr 1334121602 1334134558
138472 Sierra 64 5hr 1333430402 1333430481
137026 Sierra 256 5hr 1333344003 1333344365
136415 Sierra 128 5hr 1333257603 1333259515
150185 Sierra 64 5hr 1334035202 1334039030
135504 Sierra 512 5hr 1333214404 1333235554
132147 Sierra 8 5hr 1333084802 1333084810
142666 Sierra 128 5hr 1333732803 1333746843
133163 Sierra 256 5hr 1333128003 1333173485
136418 Sierra 1024 5hr 1333257604 1333259475
148299 Sierra 16 5hr 1333948802 1333948928
139676 Sierra 8 5hr 1333560001 1333561372
150940 Sierra 8 5hr 1334078402 1334078454
150941 Sierra 16 5hr 1334078402 1334078454
144712 Sierra 256 5hr 1333819203 1333823551
147230 Sierra 256 5hr 1333905604 1333910234
150187 Sierra 256 5hr 1334035203 1334038997
150188 Sierra 512 5hr 1334035203 1334053299
139282 Sierra 64 5hr 1333516802 1333517163
136414 Sierra 64 5hr 1333257603 1333259515
138104 Sierra 256 5hr 1333387203 1333387664
138103 Sierra 128 5hr 1333387203 1333387664
132151 Sierra 128 5hr 1333084803 1333108213
143782 Sierra 8 5hr 1333776001 1333777758
150946 Sierra 256 5hr 1334078404 1334078425
149215 Sierra 128 5hr 1333992003 1334000414
147232 Sierra 1024 5hr 1333905607 1333934184
142663 Sierra 32 5hr 1333732802 1333746842
138105 Sierra 512 5hr 1333387203 1333387619
140212 Sierra 512 5hr 1333603213 1333603227
131252 Sierra 512 5hr 1333041613 1333108129
130815 Sierra 256 5hr 1332998408 1333006606
135499 Sierra 16 5hr 1333214403 1333214438
147229 Sierra 128 5hr 1333905602 1333905608
134512 Sierra 256 5hr 1333171203 1333173521
143786 Sierra 128 5hr 1333776002 1333779195
135500 Sierra 32 5hr 1333214403 1333214439
145739 Sierra 1024 5hr 1333862404 1333876450
136905 Sierra 32 5hr 1333300802 1333321094
138476 Sierra 1024 5hr 1333430403 1333430423
136907 Sierra 128 5hr 1333300802 1333321057
141852 Sierra 128 5hr 1333689603 1333695233
148303 Sierra 256 5hr 1333948803 1333948884
134513 Sierra 512 5hr 1333171204 1333174032
136906 Sierra 64 5hr 1333300802 1333321055
147231 Sierra 512 5hr 1333905607 1333934229
136417 Sierra 512 5hr 1333257603 1333259516
131253 Sierra 1024 5hr 1333041614 1333043473
150947 Sierra 512 5hr 1334078404 1334096589
130816 Sierra 512 5hr 1332998408 1333006606
148302 Sierra 128 5hr 1333948803 1333948931
139281 Sierra 32 5hr 1333516802 1333517163
130811 Sierra 16 5hr 1332998407 1333032827
137022 Sierra 16 5hr 1333344001 1333344036
